"user_primary_key","video_min_date","video_max_date","video_days","video_use_time","video_n_life","video_kind_life","vido_n_finish","video_n_school","video_repeat_rate","video_finish_rate","video_school_rate","video_finish_time","video_kind_finish","video_finish_school","video_f_time_mean","video_f_repeat_rate","video_f_school_rate","video_use_time_s1","video_n_s1","video_kind_s1","video_finish_time_s1","video_finish_s1","video_kind_finish_s1","video_finish_time_mean_s1","video_use_time_s2","video_n_s2","video_kind_s2","video_finish_time_s2","video_finish_s2","video_kind_finish_s2","video_finish_time_mean_s2"
"-2435511499578169723",2015-10-24,2015-10-24,0,340,3,3,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,3,3,NA,NA,NA,NA
"-2437051575454056179",2014-10-02,2014-10-02,0,37,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2440976749596345388",2014-11-05,2014-11-05,0,18,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2459286070333019128",2015-09-22,2015-10-06,14,79,2,2,0,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,2,2,NA,NA,NA,NA
"-2465051002554856437",2015-10-01,2015-10-15,14,190,8,8,1,8,1,0.125,1,34,1,1,34,1,1,NA,NA,NA,NA,NA,NA,NA,190,8,8,34,1,1,34
"-2467329642072272611",2014-12-30,2014-12-30,0,16,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2479898489666446449",2015-06-10,2015-06-10,0,3,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-248157384146446751",2015-03-02,2015-09-08,190,2579,16,15,6,4,0.938,0.375,0.25,1891,6,1,315.167,1,0.167,1870,10,9,1605,5,5,321,28,1,1,NA,NA,NA,NA
"-2485667090454096183",2015-07-30,2015-07-30,0,11,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2488030451945419552",2015-04-17,2015-10-23,189,82408,418,367,379,40,0.878,0.907,0.096,78973,345,29,208.372,0.91,0.077,6,1,1,NA,NA,NA,NA,23482,127,120,23204,119,115,194.991596638655
"-2488598523933732092",2015-01-06,2015-07-08,183,577,4,4,1,2,1,0.25,0.5,173,1,0,173,1,0,222,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-249393424409649980",2014-11-14,2014-11-14,0,10,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-249572928732999663",2014-10-30,2014-10-30,0,21,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2501335371813760310",2015-09-07,2015-10-24,47,146,2,2,0,1,1,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,2,2,NA,NA,NA,NA
"-2504529929870978297",2015-09-16,2015-10-15,29,7482,20,17,19,5,0.85,0.95,0.25,7119,16,5,374.684,0.842,0.263,NA,NA,NA,NA,NA,NA,NA,7482,20,17,7119,19,16,374.684210526316
"-2520017122098203732",2015-09-22,2015-10-06,14,379,3,3,1,3,1,0.333,1,280,1,1,280,1,1,NA,NA,NA,NA,NA,NA,NA,379,3,3,280,1,1,280
"-2520216204413882665",2014-10-07,2014-10-07,0,22,10,10,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2530054868280427662",2014-05-12,2015-10-20,526,648,5,5,2,4,1,0.4,0.8,400,2,2,200,1,1,NA,NA,NA,NA,NA,NA,NA,159,2,2,NA,NA,NA,NA
"-2543371518303113221",2015-01-22,2015-10-05,256,4230,17,16,8,0,0.941,0.471,0,2711,8,0,338.875,1,0,1021,3,3,305,1,1,305,637,2,2,637,2,2,318.5
