user_primary_key_hash,pre_exam,post_exam
7017984502639043799,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
701885558757343108,2015-05-14 18:05:48.90038 UTC,2015-10-30 09:02:53.15014 UTC
7019837407791498509,2015-04-24 18:03:16.57849 UTC,2015-10-30 09:00:20.56732 UTC
7020838139359338027,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
7021716911976433252,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
702660206338560736,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
7028135277399970349,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
7030377695718992104,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
7030943468659484281,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
7037677775371719828,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
7039740306692150627,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
704238891584134634,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
7044216637795197418,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
7046038643647424335,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
7051288098181302469,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
7053654103268658689,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
7056053994658872689,2015-04-24 18:03:16.57849 UTC,2015-10-30 09:00:20.56732 UTC
7059019828096354178,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
7062328894640022995,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
7065121014035245595,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
7065182492516013981,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
7065293600500218299,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
